Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,League,Season
Osasuna,2,38.0,51,4,0,11,2,49.1,0.29,0.1,0.0,396,876,45.2,884,84,68.6,46.5,315,85.7,58.5,546,24,4.4,71,1.87,18.1,La Liga,2021-2022
Rayo Vallecano,2,38.0,50,7,0,4,1,49.7,0.25,0.7,0.02,224,648,34.6,889,193,50.6,42.1,283,70.0,52.2,495,44,8.9,41,1.08,13.9,La Liga,2021-2022
Real Madrid,2,38.0,31,3,1,2,0,37.0,0.25,6.0,0.16,79,261,30.3,926,201,21.0,28.8,289,23.2,28.2,506,24,4.7,31,0.82,15.5,La Liga,2021-2022
Real Sociedad,2,38.0,37,5,1,8,0,35.5,0.24,-1.5,-0.04,211,521,40.5,1094,139,34.1,32.9,269,55.0,44.0,522,21,4.0,51,1.34,16.4,La Liga,2021-2022
Sevilla,3,38.0,30,2,2,6,0,31.3,0.24,1.3,0.03,181,446,40.6,1051,145,29.0,29.1,277,50.9,40.6,503,32,6.4,36,0.95,13.7,La Liga,2021-2022
Valencia,3,38.0,53,7,0,7,3,54.1,0.29,4.1,0.11,248,623,39.8,749,140,55.3,39.8,298,70.1,50.4,534,20,3.7,45,1.18,16.0,La Liga,2021-2022
Villarreal,2,38.0,37,4,0,3,1,37.1,0.26,1.1,0.03,146,385,37.9,1232,199,23.1,28.0,281,35.9,35.3,583,25,4.3,66,1.74,16.8,La Liga,2021-2022
Almería,3,38.0,65,4,1,5,1,63.4,0.29,-0.6,-0.01,204,572,35.7,990,220,39.2,40.2,356,51.7,42.6,642,40,6.2,28,0.74,14.5,La Liga,2022-2023
Athletic Club,2,38.0,43,3,1,1,3,37.2,0.29,-2.8,-0.07,171,452,37.8,925,187,30.9,33.2,264,62.9,48.3,451,29,6.4,50,1.32,17.5,La Liga,2022-2023
Atlético Madrid,3,38.0,33,4,1,5,0,36.3,0.26,3.3,0.09,166,525,31.6,812,165,39.8,34.1,334,60.5,46.3,575,48,8.3,26,0.68,9.2,La Liga,2022-2023
Barcelona,2,38.0,20,3,0,2,3,25.1,0.22,8.1,0.21,169,338,50.0,1216,190,22.3,28.9,223,30.0,32.5,375,18,4.8,43,1.13,16.4,La Liga,2022-2023
Betis,2,38.0,41,3,1,7,1,44.0,0.29,4.0,0.1,229,635,36.1,956,149,44.0,39.6,315,67.9,49.1,582,22,3.8,43,1.13,12.1,La Liga,2022-2023
Cádiz,2,38.0,53,9,1,7,0,53.4,0.22,0.4,0.01,270,829,32.6,916,150,59.1,46.4,322,89.4,64.2,651,44,6.8,30,0.79,13.6,La Liga,2022-2023
Celta Vigo,2,38.0,53,5,1,10,1,42.9,0.27,-9.1,-0.24,184,506,36.4,934,171,37.5,35.3,289,54.0,43.9,509,22,4.3,39,1.03,18.1,La Liga,2022-2023
Elche,2,38.0,67,7,0,6,2,71.9,0.31,6.9,0.18,195,442,44.1,819,175,33.8,34.9,318,51.9,40.9,600,22,3.7,21,0.55,14.0,La Liga,2022-2023
Espanyol,4,38.0,69,5,1,9,2,54.5,0.27,-12.5,-0.33,305,659,46.3,865,122,49.7,36.2,347,66.0,48.0,557,27,4.8,46,1.21,13.8,La Liga,2022-2023
Getafe,1,38.0,45,4,0,7,2,45.5,0.23,2.5,0.07,409,904,45.2,782,99,75.1,49.8,347,91.4,59.8,586,36,6.1,46,1.21,15.0,La Liga,2022-2023
Girona,2,38.0,55,6,2,5,0,62.0,0.33,7.0,0.18,169,464,36.4,1075,192,28.4,32.4,329,48.3,41.9,597,43,7.2,59,1.55,15.1,La Liga,2022-2023
Mallorca,3,38.0,43,6,0,3,0,41.5,0.24,-1.5,-0.04,351,841,41.7,950,130,61.9,54.9,338,74.9,54.0,657,35,5.3,21,0.55,4.0,La Liga,2022-2023
Osasuna,2,38.0,42,1,1,3,2,39.1,0.26,-0.9,-0.02,342,789,43.3,1084,145,53.4,41.1,315,66.7,50.8,534,30,5.6,57,1.5,16.3,La Liga,2022-2023
Rayo Vallecano,2,38.0,53,4,0,11,4,45.9,0.3,-3.1,-0.08,154,545,28.3,834,204,44.5,38.6,310,56.1,46.5,512,24,4.7,54,1.42,16.1,La Liga,2022-2023
Real Madrid,2,38.0,36,4,0,2,1,34.2,0.22,-0.8,-0.02,97,241,40.2,1108,230,17.7,23.3,253,17.8,25.0,420,33,7.9,51,1.34,21.7,La Liga,2022-2023
Real Sociedad,1,38.0,35,1,1,3,2,32.8,0.24,-0.2,0.0,244,572,42.7,1062,138,40.9,35.9,244,56.6,46.2,453,18,4.0,47,1.24,15.9,La Liga,2022-2023
Sevilla,2,38.0,54,2,1,5,3,49.5,0.3,-1.5,-0.04,218,629,34.7,1143,136,38.0,44.0,307,63.5,49.3,524,32,6.1,49,1.29,12.2,La Liga,2022-2023
Valencia,1,38.0,45,2,0,7,2,42.9,0.28,-0.1,0.0,177,522,33.9,806,142,42.7,35.1,276,64.5,48.1,457,35,7.7,47,1.24,16.3,La Liga,2022-2023
